record_id,repository,work_type,number,created_at,closed_at,source_year,resolved_within_30d,workflow_risk_30d,prior_items,prior_30d_inflow,prior_open_backlog,prior_closed_by_as_of,prior_30d_resolution_rate,created_month,created_weekday
backstage:prs:8753,backstage,pull_request,8753,2022-01-05 10:22:54+00:00,2022-01-05 12:17:01+00:00,2022,1,0,35,35,14,21,,1,2
backstage:prs:8754,backstage,pull_request,8754,2022-01-05 10:24:57+00:00,2022-01-11 09:59:54+00:00,2022,1,0,36,36,15,21,,1,2
backstage:prs:8755,backstage,pull_request,8755,2022-01-05 10:30:46+00:00,2022-01-05 12:16:04+00:00,2022,1,0,37,37,16,21,,1,2
backstage:prs:8756,backstage,pull_request,8756,2022-01-05 10:45:00+00:00,2022-01-05 15:59:22+00:00,2022,1,0,38,38,17,21,,1,2
backstage:prs:8757,backstage,pull_request,8757,2022-01-05 10:45:49+00:00,2022-01-05 12:28:49+00:00,2022,1,0,39,39,18,21,,1,2
backstage:prs:8758,backstage,pull_request,8758,2022-01-05 10:46:21+00:00,2022-01-05 13:00:56+00:00,2022,1,0,40,40,19,21,,1,2
backstage:prs:8760,backstage,pull_request,8760,2022-01-05 10:48:18+00:00,2022-01-05 15:33:00+00:00,2022,1,0,41,41,20,21,,1,2
backstage:issues:8761,backstage,issue,8761,2022-01-05 10:50:45+00:00,2022-01-13 15:30:10+00:00,2022,1,0,42,42,21,21,,1,2
backstage:prs:8762,backstage,pull_request,8762,2022-01-05 11:57:53+00:00,2022-01-05 14:26:57+00:00,2022,1,0,43,43,22,21,,1,2
backstage:prs:8763,backstage,pull_request,8763,2022-01-05 12:50:50+00:00,2022-02-01 17:17:56+00:00,2022,1,0,44,44,17,27,,1,2
backstage:prs:8764,backstage,pull_request,8764,2022-01-05 13:21:48+00:00,2022-01-05 15:32:50+00:00,2022,1,0,45,45,17,28,,1,2
backstage:prs:8765,backstage,pull_request,8765,2022-01-05 15:13:34+00:00,2022-01-05 15:45:27+00:00,2022,1,0,46,46,17,29,,1,2
backstage:prs:8766,backstage,pull_request,8766,2022-01-05 15:34:01+00:00,2022-01-05 17:36:33+00:00,2022,1,0,47,47,16,31,,1,2
backstage:issues:8767,backstage,issue,8767,2022-01-05 16:46:21+00:00,2022-01-10 18:49:24+00:00,2022,1,0,48,48,14,34,,1,2
backstage:prs:8768,backstage,pull_request,8768,2022-01-05 18:05:23+00:00,2022-01-06 08:19:31+00:00,2022,1,0,49,49,14,35,,1,2
backstage:prs:8769,backstage,pull_request,8769,2022-01-05 20:39:07+00:00,2022-01-20 10:25:57+00:00,2022,1,0,50,50,14,36,,1,2
backstage:issues:8770,backstage,issue,8770,2022-01-05 22:34:04+00:00,2022-01-27 15:28:14+00:00,2022,1,0,51,51,15,36,,1,2
backstage:issues:8771,backstage,issue,8771,2022-01-05 23:01:56+00:00,2022-01-13 06:48:07+00:00,2022,1,0,52,52,16,36,,1,2
backstage:prs:8772,backstage,pull_request,8772,2022-01-06 01:17:53+00:00,2022-01-10 16:36:49+00:00,2022,1,0,53,53,17,36,,1,3
backstage:prs:8773,backstage,pull_request,8773,2022-01-06 04:11:50+00:00,2022-01-07 08:18:22+00:00,2022,1,0,54,54,18,36,,1,3
backstage:prs:8774,backstage,pull_request,8774,2022-01-06 04:14:22+00:00,2022-01-13 21:32:49+00:00,2022,1,0,55,55,19,36,,1,3
backstage:prs:8775,backstage,pull_request,8775,2022-01-06 04:16:57+00:00,2022-01-06 08:20:18+00:00,2022,1,0,56,56,20,36,,1,3
backstage:prs:8776,backstage,pull_request,8776,2022-01-06 04:42:11+00:00,2022-01-10 15:30:08+00:00,2022,1,0,57,57,21,36,,1,3
backstage:prs:8777,backstage,pull_request,8777,2022-01-06 04:43:16+00:00,2022-01-11 10:47:03+00:00,2022,1,0,58,58,22,36,,1,3
backstage:prs:8778,backstage,pull_request,8778,2022-01-06 04:44:13+00:00,2022-01-06 08:16:39+00:00,2022,1,0,59,59,23,36,,1,3
backstage:prs:8779,backstage,pull_request,8779,2022-01-06 04:44:42+00:00,2022-02-04 08:36:38+00:00,2022,1,0,60,60,24,36,,1,3
backstage:prs:8780,backstage,pull_request,8780,2022-01-06 14:17:43+00:00,2022-01-06 14:45:11+00:00,2022,1,0,61,61,22,39,,1,3
backstage:prs:8781,backstage,pull_request,8781,2022-01-06 15:40:46+00:00,2022-01-06 21:19:30+00:00,2022,1,0,62,62,22,40,,1,3
backstage:prs:8782,backstage,pull_request,8782,2022-01-06 15:50:04+00:00,2022-01-19 10:39:37+00:00,2022,1,0,63,63,23,40,,1,3
backstage:prs:8783,backstage,pull_request,8783,2022-01-06 15:56:01+00:00,2022-01-13 21:56:43+00:00,2022,1,0,64,64,24,40,,1,3
backstage:prs:8784,backstage,pull_request,8784,2022-01-06 16:53:51+00:00,2022-01-07 16:56:42+00:00,2022,1,0,65,65,25,40,,1,3
backstage:prs:8785,backstage,pull_request,8785,2022-01-06 17:26:59+00:00,2022-01-07 08:17:05+00:00,2022,1,0,66,66,26,40,,1,3
backstage:prs:8786,backstage,pull_request,8786,2022-01-06 17:32:13+00:00,2022-01-06 19:16:16+00:00,2022,1,0,67,67,27,40,,1,3
backstage:issues:8787,backstage,issue,8787,2022-01-06 18:05:31+00:00,2022-01-07 09:52:48+00:00,2022,1,0,68,68,28,40,,1,3
backstage:prs:8788,backstage,pull_request,8788,2022-01-06 19:55:14+00:00,2022-01-07 14:49:46+00:00,2022,1,0,69,69,28,41,,1,3
backstage:prs:8789,backstage,pull_request,8789,2022-01-06 20:23:33+00:00,2022-01-07 09:52:48+00:00,2022,1,0,70,70,29,41,,1,3
backstage:prs:8790,backstage,pull_request,8790,2022-01-06 21:09:52+00:00,2022-01-14 15:31:53+00:00,2022,1,0,71,71,30,41,,1,3
backstage:prs:8791,backstage,pull_request,8791,2022-01-06 22:41:48+00:00,2022-01-18 17:43:36+00:00,2022,1,0,72,72,30,42,,1,3
backstage:issues:8792,backstage,issue,8792,2022-01-07 00:18:48+00:00,2022-02-10 12:07:18+00:00,2022,0,1,73,73,31,42,,1,4
backstage:prs:8793,backstage,pull_request,8793,2022-01-07 04:08:04+00:00,2022-01-11 13:47:03+00:00,2022,1,0,74,74,32,42,,1,4
backstage:prs:8794,backstage,pull_request,8794,2022-01-07 04:08:42+00:00,2022-01-07 07:32:52+00:00,2022,1,0,75,75,33,42,,1,4
backstage:prs:8795,backstage,pull_request,8795,2022-01-07 09:55:04+00:00,2022-01-07 13:39:00+00:00,2022,1,0,76,76,29,47,,1,4
backstage:prs:8796,backstage,pull_request,8796,2022-01-07 10:30:44+00:00,2022-01-13 12:54:24+00:00,2022,1,0,77,77,30,47,,1,4
backstage:prs:8797,backstage,pull_request,8797,2022-01-07 12:35:53+00:00,2022-01-10 12:31:16+00:00,2022,1,0,78,78,31,47,,1,4
backstage:prs:8798,backstage,pull_request,8798,2022-01-07 12:40:30+00:00,2022-01-10 10:31:34+00:00,2022,1,0,79,79,32,47,,1,4
backstage:prs:8799,backstage,pull_request,8799,2022-01-07 12:57:25+00:00,2022-01-14 14:43:51+00:00,2022,1,0,80,80,33,47,,1,4
backstage:prs:8800,backstage,pull_request,8800,2022-01-07 14:43:50+00:00,2022-01-10 08:50:06+00:00,2022,1,0,81,81,32,49,,1,4
backstage:prs:8801,backstage,pull_request,8801,2022-01-07 14:46:02+00:00,2022-01-07 14:46:41+00:00,2022,1,0,82,82,33,49,,1,4
backstage:prs:8802,backstage,pull_request,8802,2022-01-07 15:00:26+00:00,2022-01-10 12:44:45+00:00,2022,1,0,83,83,32,51,,1,4
backstage:prs:8803,backstage,pull_request,8803,2022-01-07 15:40:07+00:00,2022-01-10 09:48:32+00:00,2022,1,0,84,84,33,51,,1,4
backstage:prs:8804,backstage,pull_request,8804,2022-01-07 15:53:58+00:00,2022-01-19 15:13:45+00:00,2022,1,0,85,85,34,51,,1,4
backstage:prs:8805,backstage,pull_request,8805,2022-01-07 15:54:01+00:00,2022-01-17 12:22:25+00:00,2022,1,0,86,86,35,51,,1,4
backstage:prs:8806,backstage,pull_request,8806,2022-01-07 16:19:30+00:00,2022-01-07 16:59:43+00:00,2022,1,0,87,87,36,51,,1,4
backstage:prs:8807,backstage,pull_request,8807,2022-01-07 16:27:14+00:00,2022-02-03 09:33:02+00:00,2022,1,0,88,88,37,51,,1,4
backstage:prs:8808,backstage,pull_request,8808,2022-01-07 16:29:02+00:00,2022-01-10 09:55:44+00:00,2022,1,0,89,89,38,51,,1,4
backstage:prs:8809,backstage,pull_request,8809,2022-01-07 16:30:54+00:00,2022-01-17 13:01:35+00:00,2022,1,0,90,90,39,51,,1,4
backstage:prs:8810,backstage,pull_request,8810,2022-01-07 16:39:31+00:00,2022-01-11 14:21:54+00:00,2022,1,0,91,91,40,51,,1,4
backstage:prs:8811,backstage,pull_request,8811,2022-01-07 16:41:59+00:00,2022-01-16 17:52:50+00:00,2022,1,0,92,92,41,51,,1,4
backstage:issues:8812,backstage,issue,8812,2022-01-07 17:06:52+00:00,2022-03-15 17:53:44+00:00,2022,0,1,93,93,40,53,,1,4
backstage:prs:8813,backstage,pull_request,8813,2022-01-07 17:23:44+00:00,2022-01-10 16:28:23+00:00,2022,1,0,94,94,41,53,,1,4
backstage:prs:8814,backstage,pull_request,8814,2022-01-07 17:48:01+00:00,2022-01-07 18:51:27+00:00,2022,1,0,95,95,42,53,,1,4
backstage:prs:8815,backstage,pull_request,8815,2022-01-07 18:52:28+00:00,2022-01-13 06:48:07+00:00,2022,1,0,96,96,42,54,,1,4
backstage:issues:8816,backstage,issue,8816,2022-01-08 01:18:59+00:00,2022-06-30 08:33:57+00:00,2022,0,1,97,97,43,54,,1,5
backstage:issues:8817,backstage,issue,8817,2022-01-08 01:55:46+00:00,2022-01-08 17:33:42+00:00,2022,1,0,98,98,44,54,,1,5
backstage:issues:8818,backstage,issue,8818,2022-01-08 11:19:53+00:00,2022-03-17 12:20:11+00:00,2022,0,1,99,99,45,54,,1,5
backstage:prs:8819,backstage,pull_request,8819,2022-01-08 15:28:37+00:00,2022-01-08 16:38:19+00:00,2022,1,0,100,100,46,54,,1,5
backstage:prs:8820,backstage,pull_request,8820,2022-01-08 15:37:11+00:00,2022-01-08 17:33:42+00:00,2022,1,0,101,101,47,54,,1,5
backstage:prs:8821,backstage,pull_request,8821,2022-01-08 18:55:44+00:00,2022-01-12 10:41:40+00:00,2022,1,0,102,102,45,57,,1,5
backstage:prs:8822,backstage,pull_request,8822,2022-01-08 23:11:31+00:00,2022-01-14 15:29:13+00:00,2022,1,0,103,103,46,57,,1,5
backstage:prs:8823,backstage,pull_request,8823,2022-01-09 12:05:53+00:00,2022-01-09 12:57:49+00:00,2022,1,0,104,104,47,57,,1,6
backstage:prs:8824,backstage,pull_request,8824,2022-01-09 14:23:08+00:00,2022-01-10 06:33:31+00:00,2022,1,0,105,105,47,58,,1,6
backstage:prs:8825,backstage,pull_request,8825,2022-01-09 15:19:39+00:00,2022-01-10 13:27:21+00:00,2022,1,0,106,106,48,58,,1,6
backstage:prs:8826,backstage,pull_request,8826,2022-01-09 16:51:34+00:00,2022-01-10 12:37:55+00:00,2022,1,0,107,107,49,58,,1,6
backstage:issues:8827,backstage,issue,8827,2022-01-09 20:12:03+00:00,2022-02-10 12:07:18+00:00,2022,0,1,108,108,50,58,,1,6
backstage:issues:8828,backstage,issue,8828,2022-01-09 20:12:04+00:00,2022-01-11 00:16:44+00:00,2022,1,0,109,109,51,58,,1,6
backstage:issues:8829,backstage,issue,8829,2022-01-09 20:12:07+00:00,2022-01-10 09:54:25+00:00,2022,1,0,110,110,52,58,,1,6
backstage:prs:8830,backstage,pull_request,8830,2022-01-09 21:15:12+00:00,2022-01-10 09:54:26+00:00,2022,1,0,111,111,53,58,,1,6
backstage:issues:8831,backstage,issue,8831,2022-01-10 01:27:59+00:00,2022-03-02 17:46:44+00:00,2022,0,1,112,112,54,58,,1,0
backstage:prs:8832,backstage,pull_request,8832,2022-01-10 01:50:45+00:00,2022-01-10 09:56:09+00:00,2022,1,0,113,113,55,58,,1,0
backstage:prs:8833,backstage,pull_request,8833,2022-01-10 04:14:00+00:00,2022-01-10 06:19:34+00:00,2022,1,0,114,114,56,58,,1,0
backstage:prs:8834,backstage,pull_request,8834,2022-01-10 04:16:24+00:00,2022-01-10 06:19:12+00:00,2022,1,0,115,115,57,58,,1,0
backstage:issues:8835,backstage,issue,8835,2022-01-10 06:19:36+00:00,2022-05-20 03:43:19+00:00,2022,0,1,116,116,56,60,,1,0
backstage:prs:8836,backstage,pull_request,8836,2022-01-10 09:00:52+00:00,2022-01-10 10:17:34+00:00,2022,1,0,117,117,55,62,,1,0
backstage:prs:8837,backstage,pull_request,8837,2022-01-10 10:02:15+00:00,2022-01-12 09:46:03+00:00,2022,1,0,118,118,51,67,,1,0
backstage:prs:8838,backstage,pull_request,8838,2022-01-10 10:29:48+00:00,2022-01-10 13:56:21+00:00,2022,1,0,119,119,51,68,,1,0
backstage:issues:8842,backstage,issue,8842,2022-01-10 13:38:31+00:00,2022-09-30 08:58:36+00:00,2022,0,1,120,120,47,73,,1,0
backstage:issues:8843,backstage,issue,8843,2022-01-10 14:18:16+00:00,2022-01-13 15:23:46+00:00,2022,1,0,121,121,47,74,,1,0
backstage:issues:8846,backstage,issue,8846,2022-01-10 15:06:03+00:00,2022-01-13 15:23:01+00:00,2022,1,0,122,122,47,75,,1,0
backstage:issues:8848,backstage,issue,8848,2022-01-10 15:27:25+00:00,2022-01-11 15:43:06+00:00,2022,1,0,123,123,48,75,,1,0
backstage:issues:8850,backstage,issue,8850,2022-01-10 16:29:57+00:00,2022-03-30 13:51:42+00:00,2022,0,1,124,124,47,77,,1,0
backstage:issues:8851,backstage,issue,8851,2022-01-10 16:37:00+00:00,2022-03-22 15:30:48+00:00,2022,0,1,125,125,47,78,,1,0
backstage:issues:8855,backstage,issue,8855,2022-01-10 19:35:05+00:00,2022-01-11 15:57:17+00:00,2022,1,0,126,126,47,79,,1,0
backstage:issues:8856,backstage,issue,8856,2022-01-10 22:32:49+00:00,2022-01-13 20:26:52+00:00,2022,1,0,127,127,48,79,,1,0
backstage:issues:8857,backstage,issue,8857,2022-01-10 23:40:29+00:00,2022-03-21 21:53:44+00:00,2022,0,1,128,128,49,79,,1,0
backstage:issues:8861,backstage,issue,8861,2022-01-11 05:24:13+00:00,2022-03-16 10:27:45+00:00,2022,0,1,129,129,49,80,,1,1
luigi:issues:3136,luigi,issue,3136,2022-01-11 10:25:54+00:00,,2022,0,1,0,0,0,0,,1,1
backstage:issues:8867,backstage,issue,8867,2022-01-11 15:01:01+00:00,2022-03-21 16:28:47+00:00,2022,0,1,130,130,46,84,,1,1
backstage:issues:8869,backstage,issue,8869,2022-01-11 15:57:27+00:00,2022-01-27 10:20:02+00:00,2022,1,0,131,131,45,86,,1,1
backstage:issues:8870,backstage,issue,8870,2022-01-11 16:01:25+00:00,2022-03-15 08:36:04+00:00,2022,0,1,132,132,46,86,,1,1
backstage:issues:8882,backstage,issue,8882,2022-01-12 10:06:50+00:00,2022-01-17 13:26:40+00:00,2022,1,0,133,133,45,88,,1,2
backstage:issues:8885,backstage,issue,8885,2022-01-12 12:58:57+00:00,2022-01-13 12:51:34+00:00,2022,1,0,134,134,45,89,,1,2
backstage:issues:8889,backstage,issue,8889,2022-01-12 15:13:58+00:00,2022-01-12 15:51:32+00:00,2022,1,0,135,135,46,89,,1,2
backstage:issues:8890,backstage,issue,8890,2022-01-12 16:04:48+00:00,2023-08-11 12:54:32+00:00,2022,0,1,136,136,46,90,,1,2
backstage:issues:8891,backstage,issue,8891,2022-01-12 16:09:18+00:00,2022-01-13 12:12:26+00:00,2022,1,0,137,137,47,90,,1,2
backstage:issues:8892,backstage,issue,8892,2022-01-12 16:09:20+00:00,2022-01-17 12:07:43+00:00,2022,1,0,138,138,48,90,,1,2
backstage:issues:8893,backstage,issue,8893,2022-01-12 16:09:26+00:00,2022-01-15 12:08:20+00:00,2022,1,0,139,139,49,90,,1,2
backstage:issues:8894,backstage,issue,8894,2022-01-12 18:16:26+00:00,2023-01-27 09:34:54+00:00,2022,0,1,140,140,50,90,,1,2
backstage:issues:8895,backstage,issue,8895,2022-01-12 19:38:51+00:00,2022-01-14 17:57:19+00:00,2022,1,0,141,141,51,90,,1,2
backstage:issues:8896,backstage,issue,8896,2022-01-12 22:42:40+00:00,2022-01-17 17:10:46+00:00,2022,1,0,142,142,52,90,,1,2
backstage:issues:8906,backstage,issue,8906,2022-01-13 10:53:07+00:00,2022-01-14 09:17:22+00:00,2022,1,0,143,143,51,92,,1,3
backstage:issues:8914,backstage,issue,8914,2022-01-13 13:35:52+00:00,2022-09-20 14:20:17+00:00,2022,0,1,144,144,49,95,,1,3
backstage:issues:8920,backstage,issue,8920,2022-01-13 17:47:02+00:00,2022-01-24 10:50:27+00:00,2022,1,0,145,145,46,99,,1,3
luigi:prs:3137,luigi,pull_request,3137,2022-01-14 02:44:38+00:00,2022-01-14 03:04:22+00:00,2022,1,0,1,1,1,0,,1,4
backstage:issues:8929,backstage,issue,8929,2022-01-14 07:57:14+00:00,2022-02-15 14:36:18+00:00,2022,0,1,146,146,43,103,,1,4
backstage:issues:8933,backstage,issue,8933,2022-01-14 11:42:14+00:00,2022-02-17 15:28:40+00:00,2022,0,1,147,147,43,104,,1,4
backstage:issues:8955,backstage,issue,8955,2022-01-16 20:07:38+00:00,2022-01-19 20:08:07+00:00,2022,1,0,148,148,38,110,,1,6
backstage:issues:8956,backstage,issue,8956,2022-01-16 20:07:38+00:00,2022-01-19 20:08:06+00:00,2022,1,0,149,149,39,110,,1,6
backstage:issues:8968,backstage,issue,8968,2022-01-17 16:10:43+00:00,2022-01-18 07:26:23+00:00,2022,1,0,150,150,36,114,,1,0
backstage:issues:8975,backstage,issue,8975,2022-01-17 20:07:06+00:00,2022-01-17 23:01:31+00:00,2022,1,0,151,151,36,115,,1,0
backstage:issues:8979,backstage,issue,8979,2022-01-17 21:08:42+00:00,2022-01-17 21:10:09+00:00,2022,1,0,152,152,37,115,,1,0
backstage:issues:8985,backstage,issue,8985,2022-01-18 00:14:07+00:00,2022-01-24 20:04:14+00:00,2022,1,0,153,153,36,117,,1,1
backstage:issues:8986,backstage,issue,8986,2022-01-18 04:13:46+00:00,2022-01-28 10:24:59+00:00,2022,1,0,154,154,37,117,,1,1
backstage:issues:9009,backstage,issue,9009,2022-01-18 16:55:41+00:00,2022-01-21 16:49:28+00:00,2022,1,0,155,155,37,118,,1,1
backstage:issues:9014,backstage,issue,9014,2022-01-18 23:49:32+00:00,2022-01-21 00:22:20+00:00,2022,1,0,156,156,37,119,,1,1
luigi:issues:3138,luigi,issue,3138,2022-01-19 12:02:03+00:00,,2022,0,1,2,2,1,1,,1,2
backstage:issues:9030,backstage,issue,9030,2022-01-19 13:05:04+00:00,2022-01-21 11:15:01+00:00,2022,1,0,157,157,37,120,,1,2
backstage:issues:9034,backstage,issue,9034,2022-01-19 16:51:54+00:00,2022-03-27 17:07:55+00:00,2022,0,1,158,158,37,121,,1,2
backstage:issues:9039,backstage,issue,9039,2022-01-19 17:54:36+00:00,2022-03-28 15:05:24+00:00,2022,0,1,159,159,38,121,,1,2
backstage:issues:9040,backstage,issue,9040,2022-01-19 18:32:38+00:00,2022-01-20 17:15:47+00:00,2022,1,0,160,160,39,121,,1,2
backstage:issues:9044,backstage,issue,9044,2022-01-19 22:46:08+00:00,2022-01-20 17:25:29+00:00,2022,1,0,161,161,38,123,,1,2
luigi:issues:3139,luigi,issue,3139,2022-01-20 15:07:46+00:00,,2022,0,1,3,3,2,1,,1,3
backstage:issues:9060,backstage,issue,9060,2022-01-20 16:51:40+00:00,2022-02-11 13:18:31+00:00,2022,1,0,162,162,38,124,,1,3
backstage:issues:9085,backstage,issue,9085,2022-01-21 09:45:34+00:00,2022-01-21 10:50:24+00:00,2022,1,0,163,163,36,127,,1,4
backstage:issues:9086,backstage,issue,9086,2022-01-21 11:31:24+00:00,2023-04-07 10:17:00+00:00,2022,0,1,164,164,35,129,,1,4
backstage:issues:9087,backstage,issue,9087,2022-01-21 11:45:37+00:00,2022-04-01 17:46:04+00:00,2022,0,1,165,165,36,129,,1,4
backstage:issues:9088,backstage,issue,9088,2022-01-21 12:24:35+00:00,2022-01-21 13:17:03+00:00,2022,1,0,166,166,37,129,,1,4
backstage:issues:9090,backstage,issue,9090,2022-01-21 13:59:18+00:00,2022-10-17 09:06:47+00:00,2022,0,1,167,167,37,130,,1,4
backstage:issues:9093,backstage,issue,9093,2022-01-21 14:45:15+00:00,2022-01-28 13:39:48+00:00,2022,1,0,168,168,38,130,,1,4
backstage:issues:9097,backstage,issue,9097,2022-01-21 17:21:28+00:00,2022-01-22 11:31:57+00:00,2022,1,0,169,169,38,131,,1,4
luigi:prs:3140,luigi,pull_request,3140,2022-01-21 22:13:19+00:00,2022-12-29 00:39:55+00:00,2022,0,1,4,4,3,1,,1,4
backstage:issues:9116,backstage,issue,9116,2022-01-22 04:26:52+00:00,2022-01-26 11:09:27+00:00,2022,1,0,170,170,39,131,,1,5
backstage:issues:9119,backstage,issue,9119,2022-01-23 13:23:07+00:00,2022-02-24 10:40:34+00:00,2022,0,1,171,171,39,132,,1,6
backstage:issues:9129,backstage,issue,9129,2022-01-24 08:43:24+00:00,2022-01-31 12:55:12+00:00,2022,1,0,172,172,40,132,,1,0
backstage:issues:9132,backstage,issue,9132,2022-01-24 09:41:58+00:00,2022-03-30 13:34:25+00:00,2022,0,1,173,173,41,132,,1,0
backstage:issues:9138,backstage,issue,9138,2022-01-24 12:12:47+00:00,2022-04-09 09:28:37+00:00,2022,0,1,174,174,41,133,,1,0
backstage:issues:9139,backstage,issue,9139,2022-01-24 12:32:08+00:00,2022-02-18 13:14:37+00:00,2022,1,0,175,175,42,133,,1,0
backstage:issues:9146,backstage,issue,9146,2022-01-24 17:59:28+00:00,2022-01-27 14:02:08+00:00,2022,1,0,176,176,43,133,,1,0
luigi:issues:3141,luigi,issue,3141,2022-01-24 18:39:45+00:00,,2022,0,1,5,5,4,1,,1,0
backstage:issues:9147,backstage,issue,9147,2022-01-24 21:11:31+00:00,2022-04-09 08:53:42+00:00,2022,0,1,177,177,43,134,,1,0
