work_item_id,initiative_id,team,quarter,planned_effort,actual_effort,status,is_unplanned,quality_gate_passed
INIT-05-W3,INIT-05,Ember,2026-Q2,9,8,done,False,False
INIT-05-W4,INIT-05,Ember,2026-Q2,10,11,done,False,True
INIT-05-W5,INIT-05,Ember,2026-Q2,10,15,done,False,False
INIT-05-W6,INIT-05,Ember,2026-Q2,11,12,in_progress,False,True
INIT-06-W1,INIT-06,Forge,2026-Q3,8,9,in_progress,False,False
INIT-06-W2,INIT-06,Forge,2026-Q3,15,20,done,False,False
INIT-06-W3,INIT-06,Forge,2026-Q3,14,14,done,True,True
INIT-06-W4,INIT-06,Forge,2026-Q3,11,17,done,False,True
INIT-06-W5,INIT-06,Forge,2026-Q3,9,7,done,False,False
INIT-06-W6,INIT-06,Forge,2026-Q3,11,12,done,True,False
INIT-07-W1,INIT-07,Atlas,2026-Q1,6,13,done,True,True
INIT-07-W2,INIT-07,Atlas,2026-Q1,12,16,done,False,True
INIT-07-W3,INIT-07,Atlas,2026-Q1,15,19,done,True,True
INIT-07-W4,INIT-07,Atlas,2026-Q1,8,13,done,True,True
INIT-07-W5,INIT-07,Atlas,2026-Q1,6,7,done,True,False
INIT-07-W6,INIT-07,Atlas,2026-Q1,12,10,done,True,True
INIT-08-W1,INIT-08,Beacon,2026-Q2,12,9,done,False,True
INIT-08-W2,INIT-08,Beacon,2026-Q2,10,10,done,True,True
INIT-08-W3,INIT-08,Beacon,2026-Q2,6,6,done,False,True
INIT-08-W4,INIT-08,Beacon,2026-Q2,10,10,done,False,True
INIT-08-W5,INIT-08,Beacon,2026-Q2,15,20,done,False,True
INIT-08-W6,INIT-08,Beacon,2026-Q2,16,15,done,False,True
INIT-09-W1,INIT-09,Compass,2026-Q3,16,21,done,False,True
INIT-09-W2,INIT-09,Compass,2026-Q3,6,9,done,False,True
INIT-09-W3,INIT-09,Compass,2026-Q3,10,13,done,False,True
INIT-09-W4,INIT-09,Compass,2026-Q3,5,2,done,True,True
INIT-09-W5,INIT-09,Compass,2026-Q3,7,5,done,False,True
INIT-09-W6,INIT-09,Compass,2026-Q3,16,21,done,False,True
INIT-10-W1,INIT-10,Delta,2026-Q1,8,8,done,True,True
INIT-10-W2,INIT-10,Delta,2026-Q1,8,6,done,True,True
INIT-10-W3,INIT-10,Delta,2026-Q1,8,11,done,False,True
INIT-10-W4,INIT-10,Delta,2026-Q1,11,14,in_progress,True,True
INIT-10-W5,INIT-10,Delta,2026-Q1,13,20,done,True,True
INIT-10-W6,INIT-10,Delta,2026-Q1,10,11,in_progress,False,False
INIT-11-W1,INIT-11,Ember,2026-Q2,8,13,done,False,False
INIT-11-W2,INIT-11,Ember,2026-Q2,12,17,done,False,True
INIT-11-W3,INIT-11,Ember,2026-Q2,7,8,done,True,True
INIT-11-W4,INIT-11,Ember,2026-Q2,15,21,done,True,True
INIT-11-W5,INIT-11,Ember,2026-Q2,6,13,done,True,True
INIT-11-W6,INIT-11,Ember,2026-Q2,5,2,done,False,True
INIT-12-W1,INIT-12,Forge,2026-Q3,14,16,in_progress,False,True
INIT-12-W2,INIT-12,Forge,2026-Q3,16,22,done,False,True
INIT-12-W3,INIT-12,Forge,2026-Q3,10,12,done,False,True
INIT-12-W4,INIT-12,Forge,2026-Q3,6,4,in_progress,False,False
INIT-12-W5,INIT-12,Forge,2026-Q3,13,16,done,False,True
INIT-12-W6,INIT-12,Forge,2026-Q3,14,13,done,False,True
INIT-13-W1,INIT-13,Atlas,2026-Q1,14,15,in_progress,False,True
INIT-13-W2,INIT-13,Atlas,2026-Q1,16,20,done,False,True
INIT-13-W3,INIT-13,Atlas,2026-Q1,14,15,in_progress,False,True
INIT-13-W4,INIT-13,Atlas,2026-Q1,14,17,done,True,True
INIT-13-W5,INIT-13,Atlas,2026-Q1,11,16,in_progress,False,True
INIT-13-W6,INIT-13,Atlas,2026-Q1,16,21,in_progress,False,True
INIT-14-W1,INIT-14,Beacon,2026-Q2,6,5,done,True,True
INIT-14-W2,INIT-14,Beacon,2026-Q2,8,8,done,False,False
INIT-14-W3,INIT-14,Beacon,2026-Q2,10,9,done,False,True
INIT-14-W4,INIT-14,Beacon,2026-Q2,7,9,done,True,True
INIT-14-W5,INIT-14,Beacon,2026-Q2,5,6,done,False,True
INIT-14-W6,INIT-14,Beacon,2026-Q2,15,18,done,False,True
INIT-15-W1,INIT-15,Compass,2026-Q3,12,14,done,False,True
INIT-15-W2,INIT-15,Compass,2026-Q3,9,6,in_progress,False,True
INIT-15-W3,INIT-15,Compass,2026-Q3,10,7,done,False,True
INIT-15-W4,INIT-15,Compass,2026-Q3,13,12,in_progress,False,True
INIT-15-W5,INIT-15,Compass,2026-Q3,12,17,done,False,True
INIT-15-W6,INIT-15,Compass,2026-Q3,16,18,done,True,True
INIT-16-W1,INIT-16,Delta,2026-Q1,7,10,done,False,True
INIT-16-W2,INIT-16,Delta,2026-Q1,12,11,in_progress,False,True
INIT-16-W3,INIT-16,Delta,2026-Q1,14,18,in_progress,False,True
INIT-16-W4,INIT-16,Delta,2026-Q1,15,15,done,False,True
INIT-16-W5,INIT-16,Delta,2026-Q1,13,14,done,False,True
INIT-16-W6,INIT-16,Delta,2026-Q1,14,17,done,False,False
INIT-17-W1,INIT-17,Ember,2026-Q2,11,8,in_progress,False,True
INIT-17-W2,INIT-17,Ember,2026-Q2,12,18,done,False,True
INIT-17-W3,INIT-17,Ember,2026-Q2,9,13,in_progress,True,False
INIT-17-W4,INIT-17,Ember,2026-Q2,5,10,done,False,True
INIT-17-W5,INIT-17,Ember,2026-Q2,12,10,done,False,True
INIT-17-W6,INIT-17,Ember,2026-Q2,13,11,in_progress,False,True
INIT-18-W1,INIT-18,Forge,2026-Q3,15,15,done,True,True
INIT-18-W2,INIT-18,Forge,2026-Q3,11,17,done,False,False
INIT-18-W3,INIT-18,Forge,2026-Q3,9,16,done,True,True
INIT-18-W4,INIT-18,Forge,2026-Q3,15,17,done,False,False
INIT-18-W5,INIT-18,Forge,2026-Q3,5,2,done,False,True
INIT-18-W6,INIT-18,Forge,2026-Q3,13,12,done,False,True
INIT-19-W1,INIT-19,Atlas,2026-Q1,13,20,done,False,True
INIT-19-W2,INIT-19,Atlas,2026-Q1,6,7,done,False,True
INIT-19-W3,INIT-19,Atlas,2026-Q1,9,15,done,False,True
INIT-19-W4,INIT-19,Atlas,2026-Q1,9,12,in_progress,False,True
INIT-19-W5,INIT-19,Atlas,2026-Q1,15,14,done,False,True
INIT-19-W6,INIT-19,Atlas,2026-Q1,13,14,done,True,True
INIT-20-W1,INIT-20,Beacon,2026-Q2,11,11,done,True,True
INIT-20-W2,INIT-20,Beacon,2026-Q2,12,18,done,True,True
INIT-20-W3,INIT-20,Beacon,2026-Q2,6,11,in_progress,False,True
INIT-20-W4,INIT-20,Beacon,2026-Q2,12,18,in_progress,False,False
INIT-20-W5,INIT-20,Beacon,2026-Q2,7,5,done,False,True
INIT-20-W6,INIT-20,Beacon,2026-Q2,11,12,done,False,True
INIT-21-W1,INIT-21,Compass,2026-Q3,14,17,done,False,True
INIT-21-W2,INIT-21,Compass,2026-Q3,9,11,done,False,True
INIT-21-W3,INIT-21,Compass,2026-Q3,7,6,done,False,True
INIT-21-W4,INIT-21,Compass,2026-Q3,6,9,done,True,True
INIT-21-W5,INIT-21,Compass,2026-Q3,9,7,in_progress,False,True
INIT-21-W6,INIT-21,Compass,2026-Q3,12,12,in_progress,False,True
INIT-22-W1,INIT-22,Delta,2026-Q1,10,7,done,False,True
INIT-22-W2,INIT-22,Delta,2026-Q1,6,11,done,False,True
INIT-22-W3,INIT-22,Delta,2026-Q1,8,12,done,False,True
INIT-22-W4,INIT-22,Delta,2026-Q1,12,19,done,True,True
INIT-22-W5,INIT-22,Delta,2026-Q1,15,18,done,False,True
INIT-22-W6,INIT-22,Delta,2026-Q1,8,5,done,False,True
INIT-23-W1,INIT-23,Ember,2026-Q2,7,6,done,False,True
INIT-23-W2,INIT-23,Ember,2026-Q2,10,10,in_progress,True,True
INIT-23-W3,INIT-23,Ember,2026-Q2,14,11,done,True,True
INIT-23-W4,INIT-23,Ember,2026-Q2,9,14,in_progress,False,True
INIT-23-W5,INIT-23,Ember,2026-Q2,12,15,done,False,True
INIT-23-W6,INIT-23,Ember,2026-Q2,8,12,done,True,False
INIT-24-W1,INIT-24,Forge,2026-Q3,9,14,done,False,True
INIT-24-W2,INIT-24,Forge,2026-Q3,11,16,in_progress,False,True
INIT-24-W3,INIT-24,Forge,2026-Q3,10,15,done,True,True
INIT-24-W4,INIT-24,Forge,2026-Q3,8,15,done,False,True
INIT-24-W5,INIT-24,Forge,2026-Q3,15,14,done,True,True
INIT-24-W6,INIT-24,Forge,2026-Q3,9,7,done,False,True
INIT-25-W1,INIT-25,Atlas,2026-Q1,12,12,in_progress,False,True
INIT-25-W2,INIT-25,Atlas,2026-Q1,7,6,done,False,True
INIT-25-W3,INIT-25,Atlas,2026-Q1,14,19,done,True,True
INIT-25-W4,INIT-25,Atlas,2026-Q1,9,7,done,False,True
INIT-25-W5,INIT-25,Atlas,2026-Q1,10,7,done,False,True
INIT-25-W6,INIT-25,Atlas,2026-Q1,6,7,done,False,False
INIT-26-W1,INIT-26,Beacon,2026-Q2,6,9,done,True,True
INIT-26-W2,INIT-26,Beacon,2026-Q2,12,19,done,False,True
INIT-26-W3,INIT-26,Beacon,2026-Q2,8,7,in_progress,False,True
INIT-26-W4,INIT-26,Beacon,2026-Q2,16,13,done,False,True
INIT-26-W5,INIT-26,Beacon,2026-Q2,12,10,done,False,True
INIT-26-W6,INIT-26,Beacon,2026-Q2,9,10,done,False,False
INIT-27-W1,INIT-27,Compass,2026-Q3,11,17,done,False,True
INIT-27-W2,INIT-27,Compass,2026-Q3,10,14,done,False,True
INIT-27-W3,INIT-27,Compass,2026-Q3,6,12,in_progress,True,True
INIT-27-W4,INIT-27,Compass,2026-Q3,12,18,done,False,True
INIT-27-W5,INIT-27,Compass,2026-Q3,5,8,in_progress,True,True
INIT-27-W6,INIT-27,Compass,2026-Q3,9,10,done,False,True
INIT-28-W1,INIT-28,Delta,2026-Q1,8,13,done,False,True
INIT-28-W2,INIT-28,Delta,2026-Q1,15,22,in_progress,False,True
INIT-28-W3,INIT-28,Delta,2026-Q1,10,12,in_progress,False,True
INIT-28-W4,INIT-28,Delta,2026-Q1,14,14,done,False,True
INIT-28-W5,INIT-28,Delta,2026-Q1,8,8,done,False,True
INIT-28-W6,INIT-28,Delta,2026-Q1,6,12,in_progress,False,True
INIT-29-W1,INIT-29,Ember,2026-Q2,10,12,in_progress,False,True
INIT-29-W2,INIT-29,Ember,2026-Q2,6,6,done,False,False
INIT-29-W3,INIT-29,Ember,2026-Q2,14,18,done,False,True
INIT-29-W4,INIT-29,Ember,2026-Q2,15,14,done,False,False
INIT-29-W5,INIT-29,Ember,2026-Q2,14,14,in_progress,False,True
INIT-29-W6,INIT-29,Ember,2026-Q2,12,14,done,False,False
INIT-30-W1,INIT-30,Forge,2026-Q3,12,18,done,False,True
INIT-30-W2,INIT-30,Forge,2026-Q3,10,8,in_progress,False,True
INIT-30-W3,INIT-30,Forge,2026-Q3,7,8,done,False,True
INIT-30-W4,INIT-30,Forge,2026-Q3,10,16,done,False,True
INIT-30-W5,INIT-30,Forge,2026-Q3,9,14,done,False,True
INIT-30-W6,INIT-30,Forge,2026-Q3,8,6,in_progress,False,True
